HW2;"Magia NOCTURNA PLAN 2005";2023-01;Hogwarts;25787348;2;x;HUIRCAPÁN;COLLÍO;x;2024-02;HW24093;"Transformaciones y Alteraciones Mágicas Avanzadas";dic;x;
HW2;"Magia NOCTURNA PLAN 2005";2023-01;Hogwarts;25787348;2;x;HUIRCAPÁN;COLLÍO;x;2024-02;HW227572;"Magia de Protección y Hechizos Mágicos Avanzados";mar;x;
HW2;"Magia NOCTURNA PLAN 2005";2023-01;Hogwarts;25787348;2;x;HUIRCAPÁN;COLLÍO;x;2024-02;HW227572;"Magia de Protección y Hechizos Mágicos Avanzados";dic;x;
HW2;"Magia NOCTURNA PLAN 2005";2023-01;Hogwarts;25787348;2;x;HUIRCAPÁN;COLLÍO;x;2024-01;HW24000;"Transformaciones y Metamorfosis Avanzadas";jul;B;5
HW2;"Magia NOCTURNA PLAN 2005";2023-01;Hogwarts;22392470;1;x;ITURRA;ENCINA;x;2024-01;HW227572;"Magia de Protección y Hechizos Mágicos Avanzados";jul;I;3
HW2;"Magia NOCTURNA PLAN 2005";2023-01;Hogwarts;22392470;1;x;ITURRA;ENCINA;x;2024-02;HW24093;"Transformaciones y Alteraciones Mágicas Avanzadas";mar;x;
HW2;"Magia NOCTURNA PLAN 2005";2023-01;Hogwarts;22392470;1;x;ITURRA;ENCINA;x;2024-02;HW24093;"Transformaciones y Alteraciones Mágicas Avanzadas";dic;x;
HW2;"Magia NOCTURNA PLAN 2005";2023-01;Hogwarts;22392470;1;x;ITURRA;ENCINA;x;2024-02;HW227572;"Magia de Protección y Hechizos Mágicos Avanzados";mar;x;
HW2;"Magia NOCTURNA PLAN 2005";2023-01;Hogwarts;22392470;1;x;ITURRA;ENCINA;x;2024-02;HW227572;"Magia de Protección y Hechizos Mágicos Avanzados";dic;x;
HW2;"Magia NOCTURNA PLAN 2005";2023-01;Hogwarts;22392470;1;x;ITURRA;ENCINA;x;2024-01;HW24000;"Transformaciones y Metamorfosis Avanzadas";jul;B;5.1
HW2;"Magia NOCTURNA PLAN 2005";2023-01;Hogwarts;4363788;3;x;JULEFF;ULLOA;x;2024-01;HW227572;"Magia de Protección y Hechizos Mágicos Avanzados";jul;SO;7
