19156759;x;x;x;x;x;40;"FULL TIME";x;x;x;x;x;x;"Secretaria (o)";administrativo
15059751;Rufus;Scrimgeour;x;rufus.scrimgeour.devia@coldmail.com;rufus.scrimgeour.devia@lamejor.com;0;HONORARIO;diurno;x;HOGWARTS;MAGIA;LICENCIATURA;"TITULAR REGULAR";x;academico
21423313;Séptima;Vector;x;septima.vector@yeeha.com;septima.vector@lamejor.com;0;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;DOCTOR;"ASISTENTE DOCENTE";"Director (a) Formación Cont. y Postgra";"academico y administrativo"
20082984;Vernon;Dursley;x;vernon.dursley.renard@yeeha.com;vernon.dursley.renard@lamejor.com;0;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";x;academico
22035082;JK;Rowling;x;hkrowling@editorial.edito;hkrowling@lamejor.com;0;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;x;"ASOCIADO DOCENTE";"Profesor por Jornada";"academico y administrativo"
17241044;Voldemort;SeñorOscuro;x;voldemort.senoroscuros.elinnombrable@gmall.com;voldemort.senoroscuros.elinnombrable@lamejor.com;0;"FULL TIME";diurno;x;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO REGULAR";"Profesor por Jornada";"academico y administrativo"
19457329;Fleur;Delacour;x;fleur.delacour.diaz@gmall.com;fleur.delacour.diaz@lamejor.com;0;"FULL TIME";diurno;vespertino;BEAUXBATON;x;LICENCIATURA;"INSTRUCTORA DOCENTE";"Secretaria Estudios";"academico y administrativo"
23677609;Daphne;Greengrass;x;daphne.greengrass@michea.com;x;0;HONORARIO;diurno;x;BEAUXBATON;x;MAGISTER;"INSTRUCTOR DOCENTE";x;academico
15089005;Bellatrix;Lestrange;x;bellatrix.lestrange.beltran@gmall.com;bellatrix.lestrange.beltran@lamejor.com;0;HONORARIO;diurno;x;x;x;MAGISTER;"TITULAR REGULAR";x;academico
24017462;Steve;" Kloves";x;x;x;0;x;x;x;x;x;x;x;x;x
12684784-K;x;x;x;x;x;40;x;x;x;x;x;x;x;"Secretario (a) de Dirección";administrativo
